musteri_id,yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
1075,48,94290.0,29,3.0,İstanbul,Gold,0
1076,32,96213.0,56,2.0,Ankara,Premium,0
1077,25,25895.0,36,2.0,İstanbul,Standart,1
1078,31,39738.0,25,3.0,İstanbul,Standart,1
1079,40,50746.0,21,7.0,İstanbul,Premium,1
1080,57,69377.0,57,1.0,Antalya,Standart,0
1081,38,68404.0,36,3.0,İzmir,Gold,0
1082,33,74045.0,10,3.0,İstanbul,Premium,1
1083,62,117888.0,37,3.0,İstanbul,Standart,0
1084,35,59790.0,9,1.0,İzmir,Gold,1
1085,64,25600.0,24,6.0,İstanbul,Premium,1
1086,41,114660.0,35,2.0,İstanbul,Premium,0
1087,43,113179.0,49,2.0,Antalya,Standart,0
1088,42,60764.0,35,1.0,İstanbul,Standart,0
1089,62,94543.0,48,2.0,İzmir,Premium,0
1090,58,65714.0,36,2.0,Antalya,Standart,0
1091,46,76835.0,18,3.0,İstanbul,Standart,1
1092,32,93744.0,49,,İstanbul,Premium,0
1093,62,76491.0,39,2.0,İstanbul,Standart,0
1094,18,38589.0,32,1.0,Bursa,Premium,0
1095,42,63484.0,24,1.0,Bursa,Gold,1
1096,24,102989.0,23,3.0,İzmir,Gold,1
1097,26,56212.0,32,3.0,İstanbul,Standart,1
1098,41,63525.0,37,2.0,İzmir,Gold,0
1099,18,67202.0,12,4.0,Antalya,Standart,1
1100,61,52635.0,49,2.0,Ankara,Standart,0
1101,25,83208.0,55,3.0,Antalya,Premium,0
1102,41,53828.0,13,0.0,Bursa,Standart,0
1103,28,38711.0,23,2.0,İzmir,Standart,0
1104,34,23420.0,25,1.0,Ankara,Premium,0
1105,25,116752.0,35,5.0,İstanbul,Standart,0
1106,52,20301.0,41,1.0,İstanbul,Standart,0
1107,52,65236.0,30,2.0,Ankara,Standart,0
1108,50,86235.0,17,3.0,İstanbul,Premium,0
1109,22,74240.0,49,3.0,Bursa,Premium,0
1110,59,85726.0,20,4.0,Antalya,Standart,0
1111,56,30492.0,48,1.0,İzmir,Standart,0
1112,58,26102.0,25,1.0,İstanbul,Standart,1
1113,45,70336.0,22,4.0,İstanbul,Standart,1
1114,24,105314.0,13,5.0,İstanbul,Premium,0
1115,26,46641.0,59,2.0,İzmir,Standart,0
1116,25,54584.0,19,4.0,İzmir,Standart,1
1117,29,52745.0,49,6.0,Antalya,Premium,1
1118,51,43093.0,36,2.0,Ankara,Premium,0
1119,50,86105.0,12,3.0,Antalya,Premium,0
1120,40,71885.0,41,5.0,Bursa,Standart,1
1121,41,56631.0,19,2.0,İstanbul,Standart,1
1122,54,92991.0,12,3.0,Bursa,Standart,0
1123,52,24014.0,9,4.0,İstanbul,Standart,1
1124,61,31093.0,7,3.0,İstanbul,Premium,1
1125,57,38070.0,28,4.0,Ankara,Premium,1
1126,39,55777.0,14,2.0,İstanbul,Premium,0
1127,44,76958.0,31,3.0,Ankara,Premium,0
1128,52,102074.0,52,4.0,Ankara,Standart,0
1129,18,30729.0,19,3.0,Ankara,Premium,1
1130,52,119713.0,58,1.0,İstanbul,Standart,0
1131,54,65017.0,47,2.0,Ankara,Premium,0
1132,64,86320.0,16,4.0,Ankara,Standart,0
1133,31,47751.0,53,4.0,Ankara,Standart,1
1134,20,98069.0,5,1.0,Ankara,Standart,1
1135,18,74748.0,35,0.0,İstanbul,Gold,0
1136,22,25801.0,12,6.0,Ankara,Standart,1
1137,43,39190.0,25,2.0,İstanbul,Standart,1
1138,31,69689.0,52,2.0,Ankara,Standart,0
1139,56,70993.0,59,4.0,İzmir,Premium,0
1140,44,49592.0,21,2.0,Ankara,Premium,0
1141,26,30647.0,36,3.0,Ankara,Premium,1
1142,32,28716.0,53,0.0,Antalya,Standart,0
1143,32,108891.0,23,0.0,Bursa,Premium,0
1144,43,107545.0,16,0.0,Antalya,Standart,0
1145,59,109912.0,57,1.0,Bursa,Premium,0
1146,30,90316.0,39,1.0,İstanbul,Premium,0
1147,49,22368.0,45,5.0,İstanbul,Standart,1
1148,56,97575.0,53,9.0,Ankara,Standart,0
1149,49,26655.0,42,0.0,İstanbul,Standart,0
1150,21,90031.0,58,1.0,Ankara,Standart,0
1151,47,96429.0,39,4.0,İstanbul,Standart,0
1152,54,,14,2.0,Ankara,Premium,0
1153,40,107922.0,31,1.0,İzmir,Standart,0
1154,56,75766.0,58,2.0,İzmir,Standart,0
1155,62,33403.0,5,4.0,Ankara,Standart,1
1156,32,52097.0,35,4.0,Bursa,Standart,1
1157,60,98657.0,23,4.0,Ankara,Gold,0
1158,46,30966.0,29,4.0,Bursa,Standart,1
1159,53,119157.0,43,2.0,İstanbul,Premium,0
1160,30,113848.0,11,1.0,Antalya,Premium,0
1161,49,72921.0,18,1.0,İzmir,Premium,0
1162,24,69726.0,47,0.0,İstanbul,Gold,0
1163,39,70300.0,12,0.0,İstanbul,Standart,0
1164,45,42677.0,9,1.0,Ankara,Gold,1
1165,19,75609.0,10,2.0,İstanbul,Standart,1
1166,59,116825.0,58,1.0,İstanbul,Standart,0
1167,62,76661.0,44,3.0,Ankara,Premium,0
1168,23,51024.0,17,4.0,Ankara,Gold,1
1169,45,90313.0,38,2.0,İzmir,Premium,0
1170,45,73006.0,7,1.0,Antalya,Standart,0
1171,61,115285.0,46,3.0,Ankara,Standart,0
1172,61,35338.0,13,7.0,Ankara,Gold,1
1173,37,88027.0,40,2.0,İstanbul,Standart,0
1174,47,112772.0,42,2.0,İzmir,Premium,0
1175,28,100135.0,9,1.0,İstanbul,Premium,0
1176,45,39508.0,50,,Antalya,Standart,1
1177,42,23051.0,27,2.0,Bursa,Standart,1
1178,56,68747.0,58,5.0,Ankara,Standart,0
1179,50,107142.0,2,1.0,İstanbul,Standart,0
1180,18,107235.0,5,4.0,Bursa,Gold,1
1181,44,74021.0,29,1.0,İzmir,Standart,0
1182,30,86412.0,37,1.0,İstanbul,Gold,0
1183,58,78335.0,38,3.0,İstanbul,Standart,0
1184,20,76179.0,19,1.0,İzmir,Gold,0
1185,56,52093.0,8,1.0,İstanbul,Standart,1
1186,23,89678.0,48,2.0,Antalya,Standart,0
1187,25,100738.0,45,2.0,Ankara,Standart,0
1188,44,59734.0,1,6.0,İstanbul,Premium,1
1189,26,92615.0,22,3.0,Bursa,Premium,0
1190,54,93523.0,52,1.0,İstanbul,Premium,0
1191,50,114476.0,17,1.0,Ankara,Standart,0
1192,59,37019.0,7,2.0,İstanbul,Standart,1
1193,61,103613.0,25,3.0,İstanbul,Premium,0
1194,41,111794.0,45,1.0,Ankara,Standart,0
1195,32,106672.0,4,3.0,Ankara,Standart,0
1196,49,93847.0,36,3.0,Ankara,Gold,0
1197,49,102750.0,6,1.0,İzmir,Gold,0
1198,41,99634.0,31,1.0,Ankara,Gold,0
1199,58,48251.0,19,1.0,İstanbul,Premium,0
1200,29,45945.0,44,2.0,İstanbul,Standart,1
1201,56,110852.0,54,0.0,Antalya,Standart,0
1202,19,52217.0,39,3.0,İzmir,Premium,0
1203,20,28308.0,27,3.0,Ankara,Premium,1
1204,54,25949.0,10,4.0,İstanbul,Standart,1
1205,34,71990.0,26,0.0,İstanbul,Standart,0
1206,19,21150.0,19,0.0,İzmir,Standart,1
1207,19,109480.0,39,6.0,Bursa,Premium,0
1208,45,94740.0,3,0.0,İzmir,Gold,0
1209,40,,45,3.0,Bursa,Premium,0
1210,54,114841.0,13,0.0,İzmir,Standart,0
1211,49,,50,1.0,İstanbul,Gold,0
1212,50,66175.0,28,3.0,Ankara,Premium,0
1213,18,27805.0,58,4.0,İstanbul,Standart,1
1214,36,25237.0,20,3.0,İstanbul,Standart,1
1215,19,40056.0,28,6.0,Bursa,Standart,1
1216,61,65543.0,8,3.0,Ankara,Standart,1
1217,43,76556.0,41,5.0,Ankara,Gold,0
1218,49,23343.0,39,,İstanbul,Standart,0
1219,23,33500.0,1,,İstanbul,Gold,1
1220,49,73222.0,3,1.0,İstanbul,Standart,0
1221,21,49375.0,13,4.0,İstanbul,Standart,1
1222,28,29662.0,28,1.0,Ankara,Standart,1
1223,34,36964.0,57,3.0,İstanbul,Standart,0
1224,55,79638.0,49,1.0,Ankara,Standart,0
1225,41,93666.0,25,3.0,İstanbul,Gold,0
1226,22,105067.0,56,2.0,İstanbul,Premium,0
1227,51,87215.0,33,,İstanbul,Premium,0
1228,23,89042.0,38,2.0,Ankara,Standart,0
1229,39,33284.0,53,1.0,İzmir,Standart,0
1230,28,92789.0,6,0.0,Ankara,Standart,1
1231,33,104664.0,58,2.0,Ankara,Premium,0
1232,50,113468.0,44,2.0,İzmir,Standart,0
1233,26,81389.0,45,,İstanbul,Standart,0
1234,23,29435.0,32,4.0,İstanbul,Premium,1
1235,33,74340.0,45,2.0,Bursa,Standart,0
1236,46,64078.0,47,2.0,Ankara,Standart,0
1237,20,98832.0,21,4.0,İstanbul,Standart,1
1238,37,71293.0,16,7.0,Antalya,Gold,1
1239,53,115981.0,54,,İzmir,Premium,0
1240,36,98781.0,21,1.0,İstanbul,Standart,0
1241,43,80403.0,11,5.0,Ankara,Standart,1
1242,20,49124.0,37,4.0,Ankara,Gold,0
1243,36,115435.0,36,1.0,Ankara,Premium,0
1244,37,63919.0,35,3.0,İstanbul,Standart,0
1245,49,55247.0,19,0.0,İstanbul,Gold,0
1246,24,114758.0,20,2.0,Ankara,Standart,0
1247,58,111747.0,57,2.0,Ankara,Premium,0
1248,50,82752.0,18,6.0,Bursa,Premium,1
1249,57,76573.0,47,3.0,İzmir,Standart,0
1250,56,79101.0,41,4.0,İstanbul,Gold,0
